ID,상호명,카테고리,업종,주소,지역권,메인메뉴,가격_원,주차유형,혼밥,가족식사,단체수용
1,효자막창 객사본점,고기,"곱창,막창,양",전북특별자치도 전주시 완산구 다가동3가 23-3 1층 효자막창,객사·객리단길권,"곱창,막창,대창,모둠",18000,인근 유료주차 1시간 지원 후기,비추천,가능,추천
2,대파생곱창 본점,고기,"곱창,막창,양",전북특별자치도 전주시 완산구 서신동 933-4 1층 대파생곱창,서신동권,"곱창,막창,대창,모둠",22000,없음,비추천,가능,추천
3,진수곱창 신시가지점,고기,"곱창,막창,양",전북특별자치도 전주시 완산구 효자동3가 1535-1,효자동·신시가지권,"곱창,막창,대창,모둠",18000,없음,비추천,가능,추천
4,동호곱창,고기,"곱창,막창,양",전북특별자치도 전주시 덕진구 우아동3가 748-14,전주역·아중리권,한우 곱창전골,27000,없음,비추천,가능,가능
5,고수닭갈비 전북대점,고기,닭갈비,전북특별자치도 전주시 덕진구 덕진동1가 1314-179,전북대·덕진공원권,닭갈비,15000,전북대 인근 유료·공영,비추천,추천,가능
6,동창야채닭갈비 덕진점,고기,닭갈비,전북특별자치도 전주시 덕진구 금암동 668-3,전북대·금암동권,닭갈비,11000,주차 가능 표기,비추천,추천,가능
7,경성금돼지 전주본점,고기,돼지고기구이,전북특별자치도 전주시 덕진구 인후동1가 836-8,전주역·아중리권,숙성 돼지고기구이,18000,없음,비추천,추천,가능
8,서래갈매기 전북대점,고기,돼지고기구이,전북특별자치도 전주시 덕진구 덕진동1가 1314-180,전북대·덕진공원권,갈매기살,18000,전용 없음·전북대 체육관 유료,비추천,추천,추천
9,민속광장,고기,돼지고기구이,전북특별자치도 전주시 덕진구 덕진동1가 1276-1,전북대·덕진공원권,"삼겹살, 목살, 오리주물럭",16000,매장 주변·지원 가능 후기,비추천,추천,추천
10,구구양꼬치,고기,양꼬치,전북특별자치도 전주시 덕진구 덕진동1가 1261-2 2층,전북대·덕진공원권,양꼬치,17000,없음,비추천,추천,가능
11,온담 전주본점,고기,"육류,고기요리",전북특별자치도 전주시 완산구 다가동2가 181 1층,객사·객리단길권,"직각 목살, 삼겹살",14000,없음,비추천,추천,가능
12,자매갈비전골,고기,"육류,고기요리",전북특별자치도 전주시 완산구 남노송동 536-1 자매갈비전골,한옥마을·남부시장권,"물갈비, 갈비전골",19000,전용 없음·인근 공영주차장,가능,추천,가능
13,다가생구이 본점,고기,"육류,고기요리",전북특별자치도 전주시 완산구 고사동 462-9,객사·객리단길권,"삼겹살, 목살, 오리주물럭",18000,인근 공영주차장·1시간권 후기,비추천,추천,가능
14,몽유도 전주본점,고기,"육류,고기요리",전북특별자치도 전주시 완산구 다가동3가 6-1,객사·객리단길권,"뼈대 삼겹살, 숙성 목살, 항정살",18000,없음,비추천,추천,가능
15,오원집 본점,고기,"육류,고기요리",전북특별자치도 전주시 완산구 태평동 10-9,객사·객리단길권,"연탄돼지고기, 연탄불고기",12000,없음,가능,가능,가능
16,완이네연탄구이 전주서곡점,고기,"육류,고기요리",전북특별자치도 전주시 완산구 효자동3가 1457-12,효자동·서곡권,"연탄돼지고기, 연탄불고기",16000,없음,비추천,추천,가능
17,완산벌연탄집,고기,"육류,고기요리",전북특별자치도 전주시 덕진구 우아동3가 746-10 1층,전주역·아중리권,허브 삼겹살,14000,인근 공영주차장·주민센터,비추천,추천,가능
18,모현동참숯집 전주송천동점,고기,"육류,고기요리",전북특별자치도 전주시 덕진구 송천동1가 23-2,송천동·에코시티권,"이베리코 목살, 삼겹살, 특수부위",16000,없음,비추천,추천,가능
19,황제보쌈,고기,"족발,보쌈",전북특별자치도 전주시 덕진구 덕진동1가 1264-10,전북대·덕진공원권,보쌈,39000,인근 공영·유료,비추천,추천,가능
20,송가네춘천닭갈비,고기,닭갈비,전북특별자치도 전주시 덕진구 덕진동1가 1264-17 송가네춘천닭갈비,전북대·덕진공원권,닭갈비,8000,전북대 인근 유료·공영,비추천,추천,가능
21,육일식당,국물 요리,감자탕,전북특별자치도 전주시 완산구 삼천동2가 275-3,삼천동권,고구마순 감자탕,38000,주차 가능,비추천,추천,추천
